month-year,rsi-3-SPXL->-23-1-ERY
2023-12,[-7.05166812e+01  5.23809524e-01 -6.88767584e+02  9.32142857e-01]
2024-01,[3.99680289e-13 3.50000000e-01 3.99680289e-07 1.00000000e+00]
2024-02,[-4.97802086e+01  4.00000000e-01 -1.34406563e+03  9.62962963e-01]
2024-03,[-9.75574345e+01  2.38095238e-01 -5.07298659e+02  8.07692308e-01]
2024-04,[-5.71737743e+01  2.38095238e-01 -1.20064926e+03  9.52380952e-01]
2024-05,[9.16324398e+02 3.63636364e-01 9.16324398e+08 1.15000000e+00]
2024-06,[1.25070763e+02 5.50000000e-01 1.25070763e+08 1.04545455e+00]
2024-07,[-5.54501846e+01  3.33333333e-01 -1.21990406e+03  9.54545455e-01]
2024-08,[2.87001139e+02 3.47826087e-01 2.87001139e+08 1.08901515e+00]
2024-09,[1.26504039e+02 5.78947368e-01 1.26504039e+08 1.04347826e+00]
2024-10,[-9.89294759e+01  5.71428571e-01 -7.91435807e+02  9.16666667e-01]
